User ID,Gender,Age,EstimatedSalary,Purchased
15625395,Female,55,39000,1
15760570,Male,36,77000,0
15566689,Female,34,57000,0
15725794,Female,36,63000,0
15673539,Female,42,72000,1
15705298,Female,42,110000,1
15675791,Male,45,79000,0
15747043,Male,46,114000,1
15736397,Male,56,38000,1
15678201,Male,48,74000,1
15720745,Female,37,130000,1
15637593,Male,36,79000,1
15598070,Female,41,60000,0
15787550,Male,42,54000,0
15603942,Male,52,134000,0
15733973,Female,47,110000,1
15596761,Male,33,122000,1
15652400,Female,38,50000,0
15717893,Female,42,70000,0
15622585,Male,39,94000,1
15733964,Female,35,50000,0
15753861,Female,49,140000,1
15747097,Female,39,79000,0
15594762,Male,37,75000,1
15667417,Female,55,102000,1
15684861,Female,33,55000,0
15742204,Male,45,32000,1
15623502,Male,36,60000,0
15774872,Female,52,138000,1
15611191,Female,53,82000,1
15674331,Male,41,52000,0
15619465,Female,48,30000,1
15575247,Female,48,131000,1
15695679,Female,41,60000,0
15713463,Male,41,72000,0
15785170,Female,42,75000,0
15796351,Male,36,118000,1
15639576,Female,47,107000,1
15693264,Male,38,51000,0
15589715,Female,48,119000,1
15769902,Male,42,65000,0
15587177,Male,40,65000,0
15814553,Male,57,60000,1
15601550,Female,36,54000,0
15664907,Male,58,144000,1
15612465,Male,35,79000,0
15810800,Female,38,55000,0
15665760,Male,39,122000,1
15588080,Female,53,104000,1
15776844,Male,35,75000,0
15717560,Male,38,62000,0
15629739,Female,47,52000,1
15729908,Female,49,100000,1
15716781,Female,43,63000,0
15646936,Male,53,72000,1
15768151,Female,57,105000,1
15579212,Female,39,77000,0
15721835,Male,38,61000,0
15800515,Male,39,113000,1
15591279,Male,37,75000,0
15587419,Female,44,90000,1
15750335,Male,37,54000,0
15699619,Male,38,99000,1
15606472,Female,60,34000,1
15778368,Male,54,70000,1
15671387,Female,41,70000,0
15573926,Male,40,71000,1
15709183,Female,42,51000,0
15577514,Male,43,129000,1
15778830,Female,53,33000,1
15768072,Male,45,50000,1
15768293,Female,42,77000,0
15654456,Male,41,101000,1
15807525,Female,59,29000,1
15574372,Female,55,45000,1
15671249,Male,46,81000,1
15779744,Male,37,70000,0
15624755,Female,54,26000,1
15611430,Female,60,46000,1
15774744,Male,60,83000,1
15629885,Female,39,73000,0
15708791,Male,59,130000,1
15793890,Female,37,80000,0
15646091,Female,46,31000,1
15596984,Female,44,74000,0
15800215,Female,45,53000,0
15577806,Male,42,86000,1
15749381,Female,58,23000,1
15683758,Male,42,60000,0
15670615,Female,46,33000,1
15715622,Female,44,139000,1
15707634,Male,46,28000,1
15806901,Female,57,33000,1
15775335,Male,55,60000,1
15724150,Male,49,39000,1
15627220,Female,37,70000,0
15672330,Male,47,34000,1
15668521,Female,46,35000,1
15807837,Female,48,31000,1
15592570,Male,47,23000,1
15748589,Female,44,45000,1
15635893,Female,60,40000,1
15757632,Male,38,59000,0
15691863,Female,46,41000,1
15706071,Male,50,23000,1
15654296,Male,50,20000,1
15755018,Male,34,32000,0
15594041,Male,49,36000,1
